chapter,chapter_title,Block_Client,Examining_Magistrate,Franz_Warder,K.,Kaminer,Kullich,Leni,Miss_Buerstner,Mrs_Grubach,Prison_Chaplain,Rabensteiner,Supervisor,Titorelli,Uncle_Karl,Usher,Ushers_Wife,Willem_Warder,huld_lawyer
1,Chapter One,0,0,11,138,5,4,0,48,25,0,3,31,0,0,0,0,4,0
2,Chapter Two,0,1,0,76,2,1,0,0,2,0,1,3,3,0,0,2,1,0
3,Chapter Three,1,0,0,123,0,0,0,0,0,0,0,0,0,0,34,0,0,0
4,Chapter Four,0,0,0,47,0,0,0,21,24,0,0,0,0,0,0,0,0,0
5,Chapter Five,0,0,13,33,0,0,0,0,0,0,0,0,0,0,0,0,9,0
6,Chapter Six,1,0,0,87,0,0,33,2,0,0,0,0,0,83,0,1,0,31
7,Chapter Seven,2,0,0,222,0,0,4,1,0,0,0,0,150,1,0,0,0,36
8,Chapter Eight,131,0,0,158,0,0,62,0,0,0,0,0,0,4,0,0,0,111
9,Chapter Nine,0,0,0,116,0,0,4,0,0,2,0,0,0,0,0,0,0,0
10,Chapter Ten,0,0,0,34,0,0,0,1,0,0,0,0,0,0,0,0,0,0
