chapter,Nouns (Entities/Things),Verbs (Actions),Auxiliaries (Grammar Control),Modifiers (Qualifiers),Function/Other
1,13.570572508527704,15.80160413017424,7.587351341384714,13.53369595279801,49.50677606711533
2,16.779474264127185,14.371163229970094,7.681410357311506,13.285062175350228,47.882889973240985
3,13.623745462310485,15.780482596626094,7.100149476831091,14.766175528507366,48.729446935724965
4,15.070921985815602,16.063829787234045,7.021276595744681,12.943262411347517,48.90070921985816
5,15.179910044977513,15.142428785607196,8.65817091454273,14.09295352323838,46.92653673163419
6,14.036189997486806,15.732596129680823,7.41392309625534,15.154561447599898,47.662729328977136
7,16.198056646681827,14.425263593136242,7.701054372544966,14.864585486872029,46.81103990076494
8,12.379690949227374,16.582781456953644,7.876379690949227,14.931567328918321,48.22958057395144
9,15.235671608763003,15.180349634874974,7.700818765213543,14.228811684000886,47.6543483071476
10,15.048543689320388,15.388349514563107,5.873786407766991,13.592233009708737,50.09708737864078
