term,kind,modality,count
time,lemma,Corridor,265
door,lemma,Corridor,207
room,lemma,Corridor,202
court,lemma,Machinery,167
first,lemma,Loop,118
nothing,lemma,Loop,112
trial,lemma,Machinery,111
everything,lemma,Loop,100
hold,lemma,Machinery,93
help,lemma,Beyond,77
window,lemma,Corridor,72
probably,lemma,Loop,70
day,lemma,Corridor,65
perhaps,lemma,Loop,64
important,lemma,Loop,60
important,lemma,Machinery,60
light,lemma,Corridor,55
last,lemma,Loop,45
lose,lemma,Machinery,45
shout,lemma,Corridor,44
great,lemma,Loop,44
laugh,lemma,Mirror,43
free,lemma,Machinery,43
someone,lemma,Loop,42
believe,lemma,Beyond,40
